"LandingPageUrl","title","discription","title_url"
"https://alternativeto.net/browse/search?q=top+100","Plesk","Plesk is the leading WebOps platform to run, automate and grow applications, websites and hosting businesses in more than 32 languages across 140 countries in the world.","/software/plesk/"
"https://alternativeto.net/browse/search?q=top+100","Serpstat","Serpstat is an all-in-one SEO platform for Marketers, SEO and PPC specialists and business owners.","/software/serpstat/"
"https://alternativeto.net/browse/search?q=top+100","Smallpdf","Smallpdf is the first PDF Software you will actually like. The perfect gateway to productive, portable and cost-efficient document management solutions in your everyday life.","/software/smallpdf/"
"https://alternativeto.net/browse/search?q=top+100","MillionShort","Million Short is an experimental web search engine (really, more of a discovery engine) that allows you to REMOVE the top million (or top 100k, 10k, 1k, 100) sites from the results set.","/software/millionshort/"
"https://alternativeto.net/browse/search?q=top+100","DoggCatcher","Find, manage, and play your podcasts with DoggCatcher.","/software/doggcatcher/"
"https://alternativeto.net/browse/search?q=top+100","Unfiltered.news","Unfiltered.news lets you see the news the world is talking about through an intuitive map that you can pan and zoom around to find trending topics. Every day, tens of thousands of publishers report the news world wide.","/software/unfiltered-news/"
"https://alternativeto.net/browse/search?q=top+100","MyTuner Radio","*** LIVE RADIO BROADCAST *** More than 50,000 radio stations of 200 countries and territories available in this app. From sports to news and music.","/software/mytuner/"
"https://alternativeto.net/browse/search?q=top+100","GrooveDown for Android","GrooveDown for Android is a port of the original Groovedown PC application for the Android Operating System.","/software/groovedown-for-android/"
"https://alternativeto.net/browse/search?q=top+100","Neustar UltraDNS DNS Services","Neustar UltraDNS provides a secure and reliable managed DNS service to help businesses enable and protect their online presence.","/software/ultradns/"
"https://alternativeto.net/browse/search?q=top+100","Olivia","- Allows search music online - Smart Music recommendation, can get you songs related to ant particular song - Allows organise music - Allows download song while streaming - Allows search YouTube and add result to library, sort results...","/software/olivia/"
"https://alternativeto.net/browse/search?q=top+100","Episodie","Episodie is a TV show time tracker app with unusual design. Get to know how much time you spent watching tv shows. Track easily overall progress of your favorite shows and discover new ones.","/software/episodie/"
"https://alternativeto.net/browse/search?q=top+100","DigiPass by Vasco","VASCO Data Security is a leading supplier of strong authentication and e-signature solutions and services specializing in Internet security.","/software/digipass-by-vasco/"
"https://alternativeto.net/browse/search?q=top+100","eBackpack","Assign, Collect, Review, Annotate, and Return student work easily with eBackpack. eBackpack is an assignment, storage, and collaboration service.","/software/ebackpack/"
"https://alternativeto.net/browse/search?q=top+100","Eid Mubarak - Greet Everyone, Eid ul Fitar","Eid Mubarak - Greet Everyone, Eid ul Fitar is One of the top 100 best eid mubarak apps for iPhone and iPad.","/software/eid-mubarak--greet-everyone-eid-ul-fitar/"
"https://alternativeto.net/browse/search?q=top+100","Tags App - Hashtags for Instagram","Tags App - hashtags for Instagram and other social networks. It contains more than 11000 useful and relevant hashtags for you to copy and paste fast in more than 290 popular tag categories.","/software/tags-app--hashtags-for-instagram/"
"https://alternativeto.net/browse/search?q=top+100","CloudCodes","CloudCodes is cloud security solution provider company founded in 2011. It focuses on providing cloud security solution to enterprise customers through its single sign on solution.","/software/cloudcodes/"
"https://alternativeto.net/browse/search?q=top+100","Keysoft.pro","Very easy check the position of keywords in a search engine a few or a dozen or so hours. We continuously monitor the position of the top 100 search results. You get a very accurate result of the position of his phrases in search engines.","/software/keysoft-pro/"
"https://alternativeto.net/browse/search?q=top+100","Feedbeater","Want to follow a web page that doesn't have RSS? FeedBeater lets you create a free feed or alert for any web page. (It just needs a public URL.) Four Benefits of FeedBeater 1. As simple as humanly possible Enter a URL.","/software/feedbeater/"
"https://alternativeto.net/browse/search?q=top+100","Meatti","Meatti helps mobile app developers increase app downloads, revenue, and user engagement with actionable insights. App developers can get them all done without spending a penny on advertising and changing a single line of code.","/software/meatti/"
"https://alternativeto.net/browse/search?q=top+100","DB Navigator","App by Deutsche Bahn (German Railways) to plan train/bus/metro trips, view current departures or delays, buy or display tickets, check-in, etc. Primarily for the German market but works in many European countries.","/software/db-fahrplan/"
"https://alternativeto.net/browse/search?q=top+100","Beyond.com","Beyond, The Career Network. Your Life. Your Career. Your Network. In any career there are ups and downs. Beyond is about helping you stay in control and reach those moments of triumph. The big promotion. A well-deserved raise.","/software/beyond-com/"
"https://alternativeto.net/browse/search?q=top+100","Follow Up Boss","Stop leaving money on the table and make sure all your leads are followed up with our Real Estate Lead Management Software.","/software/follow-up-boss/"
"https://alternativeto.net/browse/search?q=top+100","Papercrypto.io","Papercrypto as a risk-free way for anybody to learn about and interact with cryptocurrency. Itâ€™s completely free to sign up and use. Take part in contests and win real prizes!.","/software/papercrypto-io/"
"https://alternativeto.net/browse/search?q=top+100","Lustre","Lustre is a massively parallel filesystem designed for high-performance, large-scale data. Lustre is mature and open source (GPL2), running stably in production at many hundreds of sites around the world.","/software/lustre/"
"https://alternativeto.net/browse/search?q=top+100","uDesktop NEXT for Mac","uDesktop NEXT is one of the biggest wallpaper collections. Choose from many thousands of hi-res wallpapers.","/software/udesktop-next-for-mac/"